Customer,Birth_Year,Highest_Education,Marital_Status,Household_Income ,Kid_home,Teen_home,Enrollment_Date,Last_purchase,AmountFruits,AmountMeat,AmountFish,AmountSweet,AmountGold,Deals,Web,Catalog,Store,WebVisits,ad1,ad2,ad3,ad4,ad5,ad6,Complain,Location
153,1953,Graduation,Divorced,"$23,272.00 ",0,0,10/17/2013,29,3,6,4,2,12,1,1,0,3,4,0,0,0,0,0,0,0,SP
158,1945,PhD,Together,"$71,604.00 ",0,0,11/17/2013,3,53,528,98,75,97,1,8,3,5,4,0,0,1,0,0,1,0,SP
164,1977,PhD,Married,"$28,973.00 ",0,0,10/13/2012,59,0,46,3,2,12,2,5,1,5,8,0,0,0,0,0,0,0,SP
178,1956,Graduation,Married,"$62,503.00 ",0,1,2/18/2013,40,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,SP
182,1946,PhD,Together,"$44,124.00 ",0,1,5/11/2013,62,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,SP
194,1965,Graduation,Married,"$48,006.00 ",1,1,6/9/2014,55,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,SP
195,1972,Graduation,Single,"$38,808.00 ",1,0,8/26/2012,21,17,52,3,19,30,4,5,1,4,8,0,0,1,0,0,1,0,SP
199,1962,Master,Single,"$45,183.00 ",0,0,1/20/2013,33,3,60,12,9,12,1,4,1,7,7,0,0,0,1,0,0,0,CA
202,1948,PhD,Widow,"$82,032.00 ",0,0,4/5/2014,54,194,377,149,125,57,0,4,6,7,1,0,0,0,0,0,0,0,IND
203,1975,Master,Single,"$81,169.00 ",0,0,4/14/2013,47,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,SP
232,1965,Graduation,Single,"$61,559.00 ",0,1,7/17/2013,8,83,88,32,14,34,1,4,2,10,3,0,0,0,0,0,0,0,SP
234,1979,Graduation,Divorced,"$15,287.00 ",1,0,10/10/2012,60,2,8,4,3,13,2,1,1,2,7,0,0,1,0,0,1,0,SP
236,1951,Graduation,Married,"$34,838.00 ",1,1,1/19/2013,62,23,29,29,14,47,3,2,1,4,6,0,0,0,0,0,0,0,CA
241,1952,Graduation,Together,"$83,844.00 ",0,0,5/12/2013,57,31,345,75,31,191,1,4,4,11,1,0,0,0,0,1,0,0,SP
247,1971,Graduation,Married,"$36,715.00 ",1,0,11/17/2012,16,10,125,21,13,16,6,7,2,4,9,0,0,0,0,0,1,0,SP
252,1963,PhD,Divorced,"$41,003.00 ",0,0,3/17/2013,11,133,142,71,44,88,1,6,2,8,6,0,0,0,0,0,0,0,SA
254,1955,Graduation,Together,"$53,863.00 ",0,1,5/17/2014,4,4,30,6,4,30,3,7,1,7,7,0,0,0,1,0,0,0,SP
255,1951,Graduation,Divorced,"$22,263.00 ",1,1,3/30/2014,31,0,2,0,0,2,2,1,0,3,6,0,0,0,0,0,0,1,SP
263,1945,PhD,Single,"$45,576.00 ",0,0,5/28/2014,9,19,29,2,14,25,1,3,1,3,8,0,0,0,0,0,1,0,SP
271,1969,Graduation,Widow,"$40,590.00 ",1,1,10/2/2013,30,0,50,6,11,37,5,3,4,3,6,0,0,1,0,0,0,0,CA
273,1970,Master,Married,"$36,138.00 ",1,1,7/16/2013,48,0,16,0,0,5,5,3,1,4,7,0,0,0,1,0,0,0,GER
286,1952,Graduation,Single,"$44,213.00 ",1,1,11/29/2013,48,11,35,0,4,7,4,2,1,5,6,0,0,0,0,0,0,0,SP
291,1970,Graduation,Married,"$72,940.00 ",0,0,6/19/2013,13,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0,SA
304,1981,Master,Single,"$22,944.00 ",1,0,12/23/2013,67,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,SP
309,1961,PhD,Together,"$63,342.00 ",0,1,10/16/2012,48,21,118,13,10,21,3,8,3,5,6,0,0,0,1,0,0,0,SA
326,1973,Graduation,Married,"$51,148.00 ",1,1,2/18/2013,38,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,IND
332,1957,Graduation,Married,"$47,743.00 ",0,1,3/22/2013,56,2,43,0,12,20,3,4,1,6,6,0,0,0,1,0,0,0,SP
340,1970,Graduation,Divorced,"$72,967.00 ",0,1,12/15/2012,1,35,179,0,0,125,2,7,2,8,5,0,0,1,0,0,1,0,GER
347,1976,Graduation,Divorced,"$40,780.00 ",0,1,9/8/2012,30,27,71,13,3,34,4,7,1,5,9,0,0,0,0,0,0,0,CA
359,1950,Graduation,Together,"$48,070.00 ",0,1,1/13/2013,33,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,0,1,SP
368,1974,Graduation,Married,"$40,049.00 ",0,1,11/29/2012,61,65,52,10,44,28,3,3,2,6,5,0,0,0,0,0,0,0,IND
378,1971,Graduation,Married,"$52,531.00 ",0,0,12/30/2012,68,112,151,51,72,125,2,7,2,10,6,0,0,0,0,0,0,0,SP
380,1954,Graduation,Divorced,"$64,497.00 ",0,1,9/10/2012,17,48,320,42,32,192,5,11,4,9,8,0,0,1,0,0,1,0,SA
387,1976,Basic,Married,"$7,500.00 ",0,0,11/13/2012,59,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,US
405,1964,Graduation,Divorced,"$41,638.00 ",0,1,2/13/2013,68,0,31,4,0,91,4,5,5,3,8,0,0,1,0,0,0,0,SP
425,1985,Graduation,Married,"$55,357.00 ",2,0,2/19/2013,66,64,116,84,25,64,3,6,2,11,5,0,0,0,0,0,0,0,IND
433,1958,Master,Alone,"$61,331.00 ",1,1,3/10/2013,42,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,CA
437,1976,Master,Divorced,"$75,012.00 ",0,0,1/25/2014,41,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,AUS
448,1978,PhD,Single,"$54,880.00 ",1,0,3/1/2013,57,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,SP
453,1956,PhD,Widow,"$35,340.00 ",1,1,6/29/2014,1,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP
454,1980,Graduation,Together,"$69,508.00 ",1,0,11/14/2012,48,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,SA
466,1944,Graduation,Married,"$65,275.00 ",0,0,4/3/2013,9,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,SP
477,1986,Graduation,Married,"$83,512.00 ",0,0,6/17/2014,31,61,835,80,20,101,1,4,7,10,1,1,1,1,0,1,1,0,SP
486,1988,Graduation,Married,"$84,219.00 ",0,0,2/2/2014,27,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,CA
492,1973,PhD,YOLO,"$48,432.00 ",0,1,10/18/2012,3,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA
498,1970,Graduation,Single,"$30,015.00 ",1,0,2/2/2014,28,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,SP
521,1985,Graduation,Together,"$54,006.00 ",1,0,9/18/2012,42,77,203,6,24,97,2,8,1,7,7,0,0,0,0,0,0,0,SP
523,1989,Graduation,Married,"$37,155.00 ",1,0,1/31/2013,51,0,26,7,15,3,1,2,0,4,5,0,0,0,0,0,0,0,SP
524,1966,Basic,Together,"$22,634.00 ",0,0,1/16/2013,47,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,0,AUS
531,1954,PhD,Divorced,"$57,333.00 ",0,1,9/22/2012,55,14,397,76,58,176,11,8,5,9,6,0,0,0,0,0,1,0,SP
535,1987,Graduation,Divorced,"$81,361.00 ",0,0,2/25/2014,18,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,GER
544,1954,Graduation,Married,"$62,820.00 ",0,0,5/11/2013,51,61,265,138,61,53,1,3,4,6,1,0,0,0,0,0,0,0,SP
569,1991,Graduation,Single,"$90,273.00 ",0,0,12/14/2013,32,129,853,120,74,111,1,5,6,7,2,1,0,0,1,1,1,0,SP
577,1976,2n Cycle,Together,"$26,907.00 ",1,1,8/20/2013,10,1,7,0,3,2,2,1,0,3,7,0,0,0,0,0,0,0,SP
590,1970,Master,Divorced,"$78,579.00 ",0,0,12/22/2012,35,66,549,216,66,99,1,5,6,4,3,0,0,0,0,0,1,0,SP
607,1955,2n Cycle,Divorced,"$41,769.00 ",0,1,2/13/2013,31,29,131,32,0,27,6,8,1,7,8,0,0,0,0,0,0,0,IND
610,1953,PhD,Together,"$53,593.00 ",1,1,8/7/2012,60,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,AUS
615,1960,Graduation,Together,"$30,507.00 ",0,0,3/11/2013,29,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,SP
618,1977,PhD,Married,"$69,389.00 ",0,1,9/28/2012,17,7,238,69,46,15,1,7,2,12,4,0,0,0,0,0,0,0,AUS
624,1984,Master,Single,"$18,890.00 ",0,0,11/10/2012,5,4,1,7,2,15,1,0,1,2,6,0,0,1,0,0,1,0,SA
626,1951,Graduation,Married,"$32,871.00 ",1,1,3/9/2013,28,2,12,0,2,5,1,1,0,3,4,0,0,0,0,0,0,0,US
635,1966,Master,Married,"$57,183.00 ",1,1,3/19/2013,51,5,64,7,0,70,8,9,1,7,8,0,0,0,0,0,0,0,SP
640,1951,Graduation,Married,"$57,304.00 ",0,1,3/11/2013,61,80,329,138,17,106,2,7,6,10,5,0,0,0,0,0,0,0,SP
663,1989,PhD,Single,"$33,996.00 ",0,0,9/11/2013,46,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0,SP
675,1973,Master,Divorced,"$52,034.00 ",1,1,5/17/2013,67,0,93,7,13,73,5,4,2,5,7,0,0,0,0,0,0,0,SP
679,1957,PhD,Married,"$37,633.00 ",1,1,9/20/2012,49,4,20,0,0,1,2,1,0,3,9,0,0,0,0,0,0,0,SP
701,1971,Graduation,Married,"$73,691.00 ",0,1,11/6/2013,58,21,250,85,43,73,2,6,2,8,2,0,0,1,0,0,0,0,SP
709,1952,Graduation,Divorced,"$51,537.00 ",0,1,12/9/2012,27,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,SA
716,1949,PhD,Together,"$67,911.00 ",0,1,5/22/2014,63,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,SP
736,1983,Graduation,Together,"$28,427.00 ",1,0,3/21/2013,67,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,0,IND
737,1949,PhD,Married,"$80,360.00 ",0,0,3/3/2013,56,86,454,112,43,43,2,4,4,5,2,1,0,0,1,1,0,0,SP
738,1981,2n Cycle,Single,"$42,395.00 ",1,1,4/4/2014,35,13,57,24,15,25,4,3,1,4,7,0,0,0,0,0,0,0,IND
749,1981,Graduation,Together,"$42,162.00 ",1,0,11/19/2013,31,7,59,2,4,27,2,3,1,3,6,0,0,1,0,0,1,0,SP
760,1975,PhD,Divorced,"$60,554.00 ",1,0,8/9/2013,8,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,0,0,SA
762,1981,2n Cycle,Together,"$75,774.00 ",1,0,5/2/2014,27,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,SP
773,1971,Master,Divorced,"$42,835.00 ",1,1,6/30/2013,64,4,93,12,9,98,7,6,6,4,6,0,0,0,0,0,0,0,IND
793,1973,Graduation,Married,"$20,895.00 ",1,0,10/6/2012,24,3,17,3,0,4,1,2,0,3,9,0,0,0,0,0,0,0,AUS
796,1965,2n Cycle,Divorced,"$60,161.00 ",0,1,10/23/2012,17,44,212,46,8,177,3,11,4,8,8,0,0,0,0,0,0,0,CA
800,1960,Graduation,Together,"$44,512.00 ",1,1,8/30/2013,57,1,6,0,0,2,2,1,0,3,4,0,0,0,0,0,0,0,SA
807,1969,Master,Together,"$44,602.00 ",1,1,2/15/2014,35,2,89,0,0,34,6,6,1,4,8,0,0,0,0,0,0,0,IND
810,1975,Graduation,Married,"$74,190.00 ",0,1,5/12/2014,49,81,86,168,91,64,2,4,2,11,2,0,0,0,0,0,0,0,SP
821,1992,Master,Single,"$92,859.00 ",0,0,10/19/2012,46,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,CA
830,1987,PhD,Single,"$74,004.00 ",0,0,2/24/2014,5,48,560,42,176,48,1,4,6,4,3,1,0,0,0,1,1,0,IND
833,1955,Master,Married,"$38,452.00 ",1,1,3/30/2014,62,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,0,SP
837,1977,Graduation,Married,"$54,809.00 ",1,1,9/11/2013,0,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP
839,1975,PhD,Married,"$45,503.00 ",1,0,9/25/2013,54,4,44,6,1,18,1,3,1,4,5,0,0,0,0,0,0,0,SP
843,1971,Graduation,Married,"$64,722.00 ",1,0,5/26/2014,47,0,280,60,147,15,4,8,2,11,6,0,0,0,0,0,0,0,SP
849,1953,Master,Together,"$56,129.00 ",0,1,6/20/2013,65,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,SP
850,1968,Graduation,Single,"$70,566.00 ",0,1,10/6/2013,4,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP
851,1972,Master,Married,"$57,136.00 ",1,1,7/9/2013,48,5,109,21,109,92,9,5,2,10,6,0,0,0,0,0,0,0,CA
873,1949,Master,Married,"$62,845.00 ",1,1,10/1/2012,3,0,45,0,0,34,11,3,4,10,8,0,0,0,1,0,1,0,SP
879,1976,Master,Married,"$49,681.00 ",0,2,11/4/2013,66,0,26,0,0,21,6,7,1,7,7,0,0,0,0,0,0,0,SA
880,1966,Basic,Together,"$22,634.00 ",0,0,1/16/2013,47,23,11,8,6,46,1,2,1,2,8,0,0,0,0,0,0,0,SP
891,1951,Master,Together,"$29,298.00 ",1,1,9/7/2013,60,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,SP
895,1948,PhD,Married,"$61,467.00 ",0,2,12/9/2012,69,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,SP
898,1986,Graduation,Married,"$23,477.00 ",1,0,10/21/2013,39,15,54,3,8,29,3,3,0,4,8,0,0,0,0,0,0,0,SP
905,1986,Graduation,Divorced,"$21,846.00 ",1,0,10/22/2013,38,17,18,6,10,26,4,4,0,3,8,0,0,0,0,0,0,0,SA
907,1975,Graduation,Married,"$46,149.00 ",0,1,11/29/2013,36,6,71,4,0,27,5,5,1,7,5,0,0,0,0,0,0,0,SP
916,1972,PhD,Single,"$41,644.00 ",1,1,5/9/2014,67,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,0,SP
933,1978,PhD,Married,"$37,717.00 ",1,0,11/23/2012,31,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,SP
938,1981,Graduation,Married,"$40,211.00 ",1,1,7/30/2013,30,1,7,2,1,25,2,2,1,2,8,0,0,1,0,0,0,0,SP
940,1987,Graduation,Single,"$57,100.00 ",1,0,5/18/2014,9,11,99,15,11,17,2,3,2,7,3,0,0,0,0,0,0,0,SA
942,1982,Graduation,Single,"$39,660.00 ",1,0,8/8/2012,36,13,78,20,13,36,3,7,1,3,9,0,0,0,0,0,1,0,SP
944,1962,Graduation,Married,"$56,181.00 ",0,1,1/8/2013,6,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP
945,1965,Graduation,Together,"$36,317.00 ",0,1,5/22/2013,53,3,25,3,2,13,2,3,0,4,7,0,0,0,0,0,0,0,SP
948,1971,Graduation,Single,"$10,245.00 ",1,0,5/15/2013,32,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0,SP
965,1971,Graduation,Divorced,"$55,635.00 ",0,1,11/13/2012,34,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,US
967,1976,Graduation,Married,"$46,049.00 ",1,1,7/21/2013,11,9,112,19,14,19,10,5,2,9,7,0,0,0,0,0,1,0,SP
968,1968,Master,Divorced,"$41,335.00 ",1,0,12/26/2013,24,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,AUS
975,1956,Graduation,Single,"$54,252.00 ",1,1,5/28/2013,25,4,26,8,4,44,5,4,1,5,6,0,0,0,0,0,0,0,AUS
977,1957,Graduation,Together,"$47,320.00 ",0,1,8/1/2013,10,19,111,50,15,19,6,5,1,8,6,0,0,0,0,0,0,0,CA
979,1975,Graduation,Single,"$33,249.00 ",1,0,2/20/2013,11,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,SP
1000,1961,Master,Together,"$74,881.00 ",1,1,3/8/2013,48,72,270,36,27,54,4,9,2,12,5,0,0,0,0,0,0,0,SP
1008,1981,PhD,Together,"$44,953.00 ",0,0,12/21/2012,31,17,133,11,8,124,1,7,3,13,6,0,0,1,0,0,0,0,GER
1012,1952,Graduation,Single,"$61,823.00 ",0,1,2/18/2013,26,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,AUS
1016,1959,PhD,Single,"$34,554.00 ",0,1,3/30/2014,43,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,CA
1029,1970,PhD,Together,"$64,413.00 ",0,1,8/1/2013,27,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,SP
1031,1989,2n Cycle,Married,"$85,710.00 ",0,0,5/5/2013,5,20,350,29,30,33,1,6,9,10,2,0,0,0,0,1,0,0,IND
1041,1973,PhD,Single,"$48,432.00 ",0,1,10/18/2012,3,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA
1044,1953,Graduation,Together,"$58,398.00 ",0,0,5/14/2013,44,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,AUS
1045,1965,Graduation,Together,"$52,117.00 ",0,1,8/16/2012,55,10,107,30,0,20,2,5,2,4,7,0,0,0,0,0,0,0,SP
1048,1972,Master,Married,"$35,641.00 ",1,0,7/14/2013,11,3,67,8,9,28,2,3,1,4,7,0,0,0,0,0,1,0,SA
1050,1952,Graduation,Married,"$28,332.00 ",0,0,4/30/2014,58,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,GER
1052,1969,Graduation,Married,"$56,796.00 ",0,1,2/16/2013,24,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,AUS
1055,1976,Master,Married,"$53,204.00 ",1,1,3/20/2014,40,0,8,2,0,6,1,1,0,3,4,0,0,0,0,0,0,0,GER
1064,1971,PhD,Married,"$42,403.00 ",1,0,12/11/2013,18,1,11,0,5,3,1,1,0,3,8,0,0,0,0,0,0,0,SP
1071,1976,PhD,Divorced,"$70,179.00 ",0,1,7/21/2013,10,88,168,69,44,133,3,7,3,13,5,0,0,0,0,0,0,0,US
1072,1965,PhD,Single,"$40,760.00 ",0,1,8/30/2013,64,0,17,0,0,6,2,2,1,3,6,0,0,0,0,0,0,0,CA
1077,1974,Graduation,Together,"$56,715.00 ",0,0,12/5/2012,52,105,239,237,172,9,1,7,3,4,4,0,0,0,0,0,0,0,SP
1079,1971,PhD,Married,"$71,969.00 ",0,1,10/16/2012,59,0,76,0,0,10,3,3,4,9,8,0,0,0,1,0,0,0,IND
1081,1957,PhD,Married,"$75,283.00 ",1,2,3/27/2013,26,9,180,12,19,66,11,6,3,5,4,0,0,0,0,0,0,0,SA
1087,1975,Master,Together,"$22,669.00 ",1,0,5/22/2013,30,14,36,37,22,48,3,4,1,2,9,0,0,0,0,0,1,0,SP
1092,1980,Graduation,Married,"$61,014.00 ",0,1,8/11/2012,17,129,495,182,43,29,4,9,3,4,7,0,0,0,0,0,0,0,IND
1100,1960,Master,Together,"$41,275.00 ",1,2,3/24/2014,33,4,22,0,2,9,4,3,1,3,5,0,0,0,0,0,0,0,CA
1103,1976,Master,Married,"$81,929.00 ",1,0,9/29/2012,60,55,278,49,0,185,2,4,4,10,6,0,0,1,0,1,1,0,AUS
1109,1982,Master,Together,"$27,590.00 ",1,0,4/23/2013,38,0,5,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
1127,1973,PhD,Married,"$85,844.00 ",0,0,5/29/2014,62,19,843,25,95,38,1,6,6,7,2,0,0,0,0,1,0,0,SP
1131,1967,PhD,Single,"$52,569.00 ",0,1,4/5/2014,54,0,3,0,0,7,1,2,0,4,3,0,0,0,0,0,0,0,SA
1139,1984,PhD,Married,"$73,356.00 ",0,0,2/6/2014,56,14,322,0,14,112,1,5,11,5,2,1,0,1,0,1,1,0,SP
1143,1972,Graduation,Married,"$22,063.00 ",1,0,8/8/2013,43,10,13,3,11,11,2,2,0,3,7,0,0,0,0,0,0,0,CA
1146,1949,Master,Together,"$49,912.00 ",0,1,9/7/2012,5,8,223,32,49,42,4,10,5,7,8,0,0,1,0,0,1,0,AUS
1150,1899,PhD,Together,"$83,532.00 ",0,0,9/26/2013,36,144,562,104,64,224,1,4,6,4,1,0,0,0,0,1,0,0,SP
1158,1966,Graduation,Divorced,"$48,877.00 ",0,1,1/5/2014,27,1,15,2,0,24,1,3,0,4,7,0,0,0,0,0,0,0,SP
1160,1970,Graduation,Married,"$13,260.00 ",1,1,8/23/2013,48,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,SP
1162,1987,PhD,Single,"$42,000.00 ",0,0,1/10/2013,23,83,267,85,59,35,2,5,2,11,5,0,0,0,0,0,1,0,SP
1165,1958,PhD,Single,"$50,729.00 ",1,1,5/2/2013,62,13,143,45,4,52,9,6,2,7,6,0,0,0,0,0,0,0,SA
1168,1978,PhD,Married,"$72,159.00 ",0,0,10/29/2012,62,53,899,34,40,53,1,4,6,10,2,0,0,0,0,0,0,0,SP
1170,1975,Graduation,Married,"$27,573.00 ",1,0,3/25/2013,45,15,110,39,15,15,4,5,1,4,8,0,0,0,0,0,0,0,SP
1175,1983,Master,Married,"$36,262.00 ",0,0,9/20/2013,24,39,54,64,28,153,1,3,5,3,6,0,0,1,0,0,1,0,SP
1176,1973,Graduation,Married,"$26,228.00 ",1,0,9/22/2013,50,6,4,3,1,9,1,1,0,2,8,0,0,0,0,0,0,0,SP
1183,1949,Master,Married,"$36,408.00 ",1,1,9/21/2013,11,1,4,3,2,3,1,1,0,2,6,0,0,0,0,0,0,0,GER
1184,1968,PhD,Divorced,"$69,674.00 ",0,2,5/22/2013,46,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,0,SA
1204,1970,PhD,Married,"$67,536.00 ",0,1,5/22/2013,45,0,447,23,71,35,3,11,5,11,8,1,0,0,0,0,0,0,SA
1212,1973,Graduation,Married,"$52,845.00 ",1,0,8/13/2013,7,25,292,130,41,64,3,8,8,6,6,0,0,1,0,0,0,0,SP
1215,1978,Graduation,Together,"$70,440.00 ",0,0,10/8/2013,49,117,499,76,102,88,1,5,10,7,3,1,0,0,0,0,0,0,SP
1225,1963,Graduation,Married,"$80,124.00 ",0,0,6/26/2014,47,84,398,205,84,241,1,3,7,8,1,0,0,1,0,0,0,0,SA
1232,1982,PhD,Together,"$70,038.00 ",0,0,10/25/2013,54,54,348,71,54,130,1,4,4,8,2,0,0,0,0,0,0,0,GER
1241,1984,2n Cycle,Married,"$14,796.00 ",1,0,9/17/2012,1,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER
1245,1966,Graduation,Single,"$63,810.00 ",0,1,11/11/2012,45,12,253,16,12,101,4,4,3,12,8,0,0,0,1,0,0,0,SP
1272,1965,Master,Single,"$55,250.00 ",0,1,10/21/2012,49,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,AUS
1277,1960,Graduation,Together,"$78,468.00 ",0,0,4/9/2014,29,22,388,104,22,34,1,10,7,10,4,1,0,0,0,0,0,0,US
1307,1978,Graduation,Divorced,"$41,986.00 ",0,1,2/9/2014,15,5,8,8,3,12,3,3,0,4,4,0,0,0,0,0,0,0,SP
1321,1974,Graduation,Married,"$26,067.00 ",1,0,11/4/2013,49,2,18,0,2,12,3,3,0,3,8,0,0,0,0,0,0,0,CA
1328,1982,2n Cycle,Married,"$57,937.00 ",0,1,2/16/2014,56,42,144,55,48,133,3,4,4,9,3,0,0,0,0,0,0,0,SA
1331,1977,Graduation,Single,"$35,790.00 ",1,0,1/2/2013,54,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,AUS
1340,1986,Graduation,Married,"$92,910.00 ",0,0,4/24/2014,42,137,792,179,103,33,1,6,7,13,1,1,0,0,1,1,0,0,SP
1343,1968,Graduation,Together,"$58,554.00 ",1,1,9/26/2012,55,24,68,38,0,88,6,8,2,6,7,0,0,0,0,0,0,0,US
1349,1970,Graduation,Married,"$50,447.00 ",2,0,4/21/2014,4,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND
1351,1956,Master,Together,"$58,656.00 ",0,1,9/20/2012,25,12,194,16,24,12,4,7,8,13,6,0,0,0,0,1,0,0,SP
1361,1974,Master,Married,"$82,584.00 ",0,0,6/4/2013,26,68,103,29,91,68,1,3,4,8,1,0,0,0,1,1,1,0,SP
1377,1954,Master,Widow,"$44,551.00 ",0,1,8/31/2013,24,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,SA
1378,1972,2n Cycle,Together,"$50,334.00 ",0,1,7/24/2013,24,16,160,84,16,134,6,7,4,6,6,0,0,0,0,0,0,0,SA
